Object,Epoch,TP,e,i,w,Node,qq,Q,P,MOID,A1,A2,A3,DT,ref,Object_name
73P/Schwassmann-Wachmann 3,50080,2449983.39,0.694826911,11.4234876,198.7699787,69.94634151,0.932770793,5.18,5.34,0.045198,6.87E-09,4.90E-10,,,J954/19,73P/Schwassmann-Wachmann 3
73P/Schwassmann-Wachmann 3-B,53880,2453894.424,0.693285521,11.39695195,198.7994526,69.8924768,0.939111037,5.18,5.36,0.04071,1.49E-08,1.96E-09,,,K061/24,73P/Schwassmann-Wachmann 3-B
73P/Schwassmann-Wachmann 3-C,55980,2455851.4,0.692225801,11.37915706,198.8705914,69.8432169,0.942856631,5.18,5.36,0.038373,6.54E-09,4.83E-10,,-12.2,K114/1,73P/Schwassmann-Wachmann 3-C
73P/Schwassmann-Wachmann 3-E,51920,2451937.953,0.693877463,11.40562118,198.7732444,69.91710448,0.937436995,5.19,5.36,0.041033,1.72E-08,5.81E-09,,,K013/11,73P/Schwassmann-Wachmann 3-E
73P/Schwassmann-Wachmann 3-G,53839,2453894.596,0.693412971,11.38956229,198.7746011,69.90839961,0.93918393,5.19,5.36,0.04054,,,,,19,73P/Schwassmann-Wachmann 3-G
73P/Schwassmann-Wachmann 3-H,53839,2453894.78,0.693565807,11.3910639,198.7738045,69.90789141,0.939169509,5.19,5.37,0.04055,,,,,14,73P/Schwassmann-Wachmann 3-H
73P/Schwassmann-Wachmann 3-J,53815,2453894.65,0.691538817,11.38026546,198.8694441,69.82886018,0.939020205,5.15,5.31,0.040713,,,,,3,73P/Schwassmann-Wachmann 3-J
73P/Schwassmann-Wachmann 3-K,53839,2453894.722,0.693543485,11.39106462,198.7896439,69.8973434,0.939076844,5.19,5.36,0.040579,,,,,4,73P/Schwassmann-Wachmann 3-K
73P/Schwassmann-Wachmann 3-L,53839,2453894.829,0.694735675,11.3987128,198.7475944,69.93678268,0.939089394,5.21,5.4,0.040654,,,,,7,73P/Schwassmann-Wachmann 3-L
73P/Schwassmann-Wachmann 3-M,53839,2453894.757,0.693940938,11.39436144,198.7775561,69.90530158,0.939096815,5.2,5.37,0.040589,,,,,11,73P/Schwassmann-Wachmann 3-M
73P/Schwassmann-Wachmann 3-N,53839,2453894.77,0.692288994,11.38094121,198.7643511,69.89730281,0.939254358,5.17,5.33,0.040527,,,,,14,73P/Schwassmann-Wachmann 3-N
73P/Schwassmann-Wachmann 3-P,53839,2453894.353,0.695575899,11.40542193,198.7241361,69.9561999,0.939159139,5.23,5.42,0.04065,,,,,7,73P/Schwassmann-Wachmann 3-P
73P/Schwassmann-Wachmann 3-Q,53839,2453894.179,0.698647244,11.4193581,198.4951922,70.13788751,0.939715748,5.3,5.51,0.040746,,,,,3,73P/Schwassmann-Wachmann 3-Q
73P/Schwassmann-Wachmann 3-R,53839,2453894.68,0.694088213,11.3947263,198.7697021,69.91308584,0.939131547,5.2,5.38,0.04058,,,,,15,73P/Schwassmann-Wachmann 3-R
73P/Schwassmann-Wachmann 3-S,53839,2453895.26,0.693358233,11.04818134,181.5621916,81.99161507,1.022366578,5.65,6.09,0.007355,,,,,2,73P/Schwassmann-Wachmann 3-S
73P/Schwassmann-Wachmann 3-T,53839,2453895.2,0.711932414,11.51229958,198.1833801,70.47600442,0.939318776,5.58,5.89,0.041618,,,,,5,73P/Schwassmann-Wachmann 3-T
73P/Schwassmann-Wachmann 3-U,53839,2453895.536,0.689397459,11.35982065,198.8353865,69.83271992,0.939390329,5.11,5.26,0.040297,,,,,2,73P/Schwassmann-Wachmann 3-U
73P/Schwassmann-Wachmann 3-V,53839,2453894.977,0.693486971,11.65182376,204.9294792,65.24678693,0.912206736,5.04,5.13,0.043636,,,,,2,73P/Schwassmann-Wachmann 3-V
73P/Schwassmann-Wachmann 3-W,53839,2453894.97,0.69757325,11.41831799,198.6608054,70.01698507,0.939125033,5.27,5.47,0.040799,,,,,3,73P/Schwassmann-Wachmann 3-W
73P/Schwassmann-Wachmann 3-X,53839,2453895.055,0.694751289,11.39938737,198.7509795,69.92862059,0.9390827,5.21,5.4,0.040651,,,,,7,73P/Schwassmann-Wachmann 3-X
73P/Schwassmann-Wachmann 3-Y,53839,2453895.095,0.719502304,11.56184126,197.9700547,70.66913935,0.939165741,5.76,6.13,0.042145,,,,,3,73P/Schwassmann-Wachmann 3-Y
73P/Schwassmann-Wachmann 3-Z,53839,2453894.809,0.693358233,11.34947201,198.0161463,70.49401081,0.942039154,5.2,5.38,0.040223,,,,,2,73P/Schwassmann-Wachmann 3-Z
73P/Schwassmann-Wachmann 3-AA,53839,2453895.666,0.680633879,11.29506494,199.1079395,69.57271647,0.939284534,4.94,5.04,0.039837,,,,,3,73P/Schwassmann-Wachmann 3-AA
73P/Schwassmann-Wachmann 3-AB,53856,2453895.214,0.691246809,11.37319386,198.8169658,69.85894301,0.939166328,5.14,5.31,0.040615,,,,,4,73P/Schwassmann-Wachmann 3-AB
73P/Schwassmann-Wachmann 3-AC,53856,2453895.178,0.695367115,11.40528019,198.7526383,69.93380114,0.939045253,5.23,5.41,0.040807,,,,,5,73P/Schwassmann-Wachmann 3-AC
73P/Schwassmann-Wachmann 3-AD,53839,2453895.179,0.693358233,11.36836584,198.3713234,70.21921728,0.94070736,5.19,5.37,0.040376,,,,,2,73P/Schwassmann-Wachmann 3-AD
73P/Schwassmann-Wachmann 3-AE,53839,2453894.826,0.696725657,11.41469069,198.7081423,69.9723223,0.939051181,5.25,5.45,0.040753,,,,,5,73P/Schwassmann-Wachmann 3-AE
73P/Schwassmann-Wachmann 3-AF,53839,2453893.514,0.676299018,11.23973276,198.7163903,69.8497135,0.941184912,4.87,4.96,0.039428,,,,,1,73P/Schwassmann-Wachmann 3-AF
73P/Schwassmann-Wachmann 3-AG,53839,2453895.498,0.695781147,11.40758964,198.7052943,69.95896614,0.939039245,5.23,5.42,0.040779,,,,,4,73P/Schwassmann-Wachmann 3-AG
73P/Schwassmann-Wachmann 3-AH,53839,2453895.13,0.693358233,11.33063244,197.7396254,70.70742061,0.942986615,5.21,5.39,0.040154,,,,,3,73P/Schwassmann-Wachmann 3-AH
73P/Schwassmann-Wachmann 3-AI,53836,2453895.2,0.698251127,11.43065377,198.7294365,69.97109124,0.938888072,5.28,5.49,0.04071,,,,,4,73P/Schwassmann-Wachmann 3-AI
73P/Schwassmann-Wachmann 3-AJ,53839,2453894.511,0.800195286,12.14931754,196.7656541,72.0622749,0.936080103,8.43,10.14,0.046608,,,,,2,73P/Schwassmann-Wachmann 3-AJ
73P/Schwassmann-Wachmann 3-AK,53839,2453894.883,0.693358233,11.42949727,199.3256981,69.37619102,0.937705211,5.18,5.35,0.040319,,,,,3,73P/Schwassmann-Wachmann 3-AK
73P/Schwassmann-Wachmann 3-AL,53839,2453894.906,0.699842824,11.44393328,198.7225549,69.97977383,0.938768584,5.32,5.53,0.040892,,,,,2,73P/Schwassmann-Wachmann 3-AL
73P/Schwassmann-Wachmann 3-AM,53839,2453894.701,0.693358233,11.54419805,201.0885964,68.11933346,0.930937164,5.14,5.29,0.04092,,,,,1,73P/Schwassmann-Wachmann 3-AM
73P/Schwassmann-Wachmann 3-AN,53839,2453894.816,0.694756955,11.40514157,198.8011953,69.89155967,0.938997324,5.21,5.4,0.040601,,,,,4,73P/Schwassmann-Wachmann 3-AN
73P/Schwassmann-Wachmann 3-AO,53839,2453894.351,0.693768774,11.32588494,198.1671916,70.388797,0.940750162,5.2,5.38,0.040747,,,,,3,73P/Schwassmann-Wachmann 3-AO
73P/Schwassmann-Wachmann 3-AP,53856,2453893.11,0.701430092,11.46590929,198.7426205,69.9669785,0.938745429,5.35,5.58,0.040996,,,,,8,73P/Schwassmann-Wachmann 3-AP
73P/Schwassmann-Wachmann 3-AQ,53856,2453894.4,0.695911909,11.41369562,198.7713164,69.92072504,0.939006437,5.24,5.43,0.04079,,,,,9,73P/Schwassmann-Wachmann 3-AQ
73P/Schwassmann-Wachmann 3-AR,53839,2453893.311,0.695799013,11.40652255,198.7098466,69.96630168,0.93920476,5.24,5.43,0.040648,,,,,2,73P/Schwassmann-Wachmann 3-AR
73P/Schwassmann-Wachmann 3-AS,53852,2453892.763,0.700970105,11.46096714,198.7247614,69.97402026,0.93882735,5.34,5.56,0.041109,,,,,6,73P/Schwassmann-Wachmann 3-AS
73P/Schwassmann-Wachmann 3-AT,53839,2453892.789,0.686932228,11.33462061,198.8104065,69.84813048,0.93962879,5.06,5.2,0.040208,,,,,2,73P/Schwassmann-Wachmann 3-AT
73P/Schwassmann-Wachmann 3-AU,53839,2453894.598,0.692822354,11.38220585,198.7583062,69.91454526,0.939297959,5.18,5.35,0.040499,,,,,1,73P/Schwassmann-Wachmann 3-AU
73P/Schwassmann-Wachmann 3-AV,53839,2453892.996,0.693358233,11.3951153,198.8335456,69.88524741,0.939024288,5.19,5.36,0.040526,,,,,1,73P/Schwassmann-Wachmann 3-AV
73P/Schwassmann-Wachmann 3-AW,53839,2453894.409,0.677301464,11.23959642,198.8339738,69.79453062,0.940257756,4.89,4.97,0.039791,,,,,2,73P/Schwassmann-Wachmann 3-AW
73P/Schwassmann-Wachmann 3-AX,53839,2453895.999,0.692470126,11.42778528,199.2512703,69.46695211,0.93800954,5.16,5.33,0.040309,,,,,1,73P/Schwassmann-Wachmann 3-AX
73P/Schwassmann-Wachmann 3-AY,53839,2453895.402,0.675089956,11.22586964,198.9220318,69.71151968,0.940193404,4.85,4.92,0.039663,,,,,2,73P/Schwassmann-Wachmann 3-AY
73P/Schwassmann-Wachmann 3-AZ,53839,2453893.205,0.675069986,11.22070941,198.8670389,69.76425986,0.940317778,4.85,4.92,0.039697,,,,,1,73P/Schwassmann-Wachmann 3-AZ
73P/Schwassmann-Wachmann 3-BA,53839,2453893.044,0.682432921,11.27075096,198.6920226,69.9209975,0.94024779,4.98,5.09,0.040053,,,,,1,73P/Schwassmann-Wachmann 3-BA
73P/Schwassmann-Wachmann 3-BB,53839,2453893.591,0.682432921,11.19018461,197.928567,70.47094006,0.942420571,4.99,5.11,0.040143,,,,,1,73P/Schwassmann-Wachmann 3-BB
73P/Schwassmann-Wachmann 3-BC,53856,2453893.107,0.700467515,11.45870615,198.7461327,69.95554651,0.938807405,5.33,5.55,0.040954,,,,,7,73P/Schwassmann-Wachmann 3-BC
73P/Schwassmann-Wachmann 3-BD,53839,2453892.675,0.682439214,10.97454826,196.463131,71.41848297,0.946155584,5.01,5.14,0.040389,,,,,1,73P/Schwassmann-Wachmann 3-BD
73P/Schwassmann-Wachmann 3-BE,53839,2453893.475,0.682439214,11.3165548,199.0041337,69.69353535,0.939421341,4.98,5.09,0.039983,,,,,1,73P/Schwassmann-Wachmann 3-BE
73P/Schwassmann-Wachmann 3-BF,53856,2453893.564,0.6856739,11.32197626,198.8097995,69.83455705,0.939574294,5.04,5.17,0.040397,,,,,2,73P/Schwassmann-Wachmann 3-BF
73P/Schwassmann-Wachmann 3-BG,53839,2453895.307,0.684754806,11.32450054,198.9548257,69.72079452,0.939341834,5.02,5.14,0.040107,,,,,1,73P/Schwassmann-Wachmann 3-BG
73P/Schwassmann-Wachmann 3-BH,53839,2453895.153,0.682439214,11.28940623,198.8380688,69.80392621,0.939816247,4.98,5.09,0.040047,,,,,1,73P/Schwassmann-Wachmann 3-BH
73P/Schwassmann-Wachmann 3-BI,53856,2453895.226,0.68246268,11.30045753,198.9127974,69.75258615,0.939765097,4.98,5.09,0.040062,,,,,3,73P/Schwassmann-Wachmann 3-BI
73P/Schwassmann-Wachmann 3-BJ,53839,2453895.186,0.691094488,11.37022892,198.7979116,69.87876452,0.939252921,5.14,5.3,0.040461,,,,,2,73P/Schwassmann-Wachmann 3-BJ
73P/Schwassmann-Wachmann 3-BK,53839,2453895.397,0.691542805,11.37077721,198.775388,69.89745388,0.939266636,5.15,5.31,0.040494,,,,,2,73P/Schwassmann-Wachmann 3-BK
73P/Schwassmann-Wachmann 3-BL,53839,2453895.363,0.696223719,11.4093615,198.6994292,69.97335799,0.939099662,5.24,5.44,0.040742,,,,,2,73P/Schwassmann-Wachmann 3-BL
73P/Schwassmann-Wachmann 3-BM,53839,2453895.516,0.682439214,11.29433257,198.861349,69.7755882,0.939756863,4.98,5.09,0.040041,,,,,1,73P/Schwassmann-Wachmann 3-BM
73P/Schwassmann-Wachmann 3-BN,53856,2453894.712,0.691771507,11.37744926,198.7947706,69.88153448,0.939185745,5.15,5.32,0.040649,,,,,3,73P/Schwassmann-Wachmann 3-BN
73P/Schwassmann-Wachmann 3-BO,53856,2453894.772,0.691827563,11.37615727,198.7715536,69.89197757,0.939219069,5.16,5.32,0.040677,,,,,3,73P/Schwassmann-Wachmann 3-BO
73P/Schwassmann-Wachmann 3-BP,53856,2453894.892,0.682453454,11.29077484,198.8488389,69.81061093,0.939783268,4.98,5.09,0.040186,,,,,1,73P/Schwassmann-Wachmann 3-BP
73P/Schwassmann-Wachmann 3-BQ,53856,2453894.8,0.69245388,11.38826125,198.8198463,69.86577521,0.939155664,5.17,5.34,0.040612,,,,,2,73P/Schwassmann-Wachmann 3-BQ
73P/Schwassmann-Wachmann 3-BR,53856,2453892.736,0.685154134,11.31924783,198.8412924,69.82671175,0.939601786,5.03,5.16,0.040313,,,,,2,73P/Schwassmann-Wachmann 3-BR
73P/Schwassmann-Wachmann 3-BS,53856,2453892.278,0.698573546,11.44446449,198.7685232,69.93999714,0.938948672,5.29,5.5,0.040824,,,,,1,73P/Schwassmann-Wachmann 3-BS
79P/du Toit-Hartley,56558,2456527.786,0.61851349,3.145618792,281.6893173,280.6403369,1.123805321,4.77,5.06,0.134779,-4.87E-11,-3.30E-11,,,16,79P/du Toit-Hartley
85P/Boethin,54252,2454813.247,0.781160626,4.295294591,37.61838461,359.3961137,1.134657452,9.24,11.81,0.149899,0,0,,,23,85P/Boethin
96P/Machholz 1,56541,2456123.323,0.959211829,58.31221424,14.7577484,94.32323631,0.123748853,5.94,5.28,0.333731,1.07E-10,-9.38E-13,,,53,96P/Machholz 1
103P/Hartley 2,56981,2457863.823,0.693780472,13.60427243,181.3222858,219.7487451,1.064195154,5.89,6.48,0.072005,,,,,252,103P/Hartley 2
104P/Kowal 2,57090,2457473.288,0.638520361,10.25097305,200.6509533,235.4414959,1.178758464,5.34,5.89,0.202197,2.26E-08,-5.48E-09,1.33E-09,,24,104P/Kowal 2
109P/Swift-Tuttle,50000,2448968.5,0.963225755,113.453817,152.9821676,139.3811921,0.959516155,51.22,133.28,0.000892,,,,,32,109P/Swift-Tuttle
122P/de Vico,50280,2449996.5,0.962708887,85.38275311,12.99609194,79.62450069,0.659337336,34.7,74.35,0.316817,,,,,27,122P/de Vico
141P/Machholz 2-A,53480,2453429.749,0.750123959,12.79506334,149.2844343,246.1615904,0.752849878,5.27,5.23,0.105492,-2.81E-09,1.03E-10,5.99E-10,,75,141P/Machholz 2-A
141P/Machholz 2-D,51520,2451522.455,0.751062411,12.81184124,149.2918108,246.1336343,0.749005694,5.27,5.22,0.107814,2.27E-08,5.86E-09,,,11,141P/Machholz 2-D
161P/Hartley-IRAS,52749,2453542.365,0.835073846,95.69806815,47.13845023,1.415670065,1.27343339,14.17,21.46,0.447763,,,,,59,161P/Hartley-IRAS
162P/Siding Spring,53529,2453319.778,0.597243635,27.84477766,356.3636966,31.25192352,1.227689026,4.87,5.32,0.232183,,,,,86,162P/Siding Spring
169P/NEAT,54296,2453631.013,0.766927719,11.30444069,217.9760878,176.2204118,0.606980751,4.6,4.2,0.142644,,,,,114,169P/NEAT
177P/Barnard,53542,2453976.192,0.954501107,31.1792882,60.34965167,272.1861491,1.107319662,47.57,120.07,0.31003,,,,,27,177P/Barnard
181P/Shoemaker-Levy 6,56908,2456818.826,0.707322828,16.98117917,333.7988486,37.67945772,1.123593041,6.55,7.52,0.156355,-2.91E-09,-8.64E-11,,,16,181P/Shoemaker-Levy 6
182P/LONEOS,53241,2454137.333,0.66634233,16.90929665,51.43384257,75.10006349,0.978022459,4.88,5.02,0.109366,,,,,61,182P/LONEOS
185P/Petriew,56498,2456153.046,0.699321038,14.00701804,181.9403336,214.0910177,0.932014336,5.27,5.46,0.060833,,1.72E-10,,,43,185P/Petriew
189P/NEAT,56364,2456128.957,0.596795547,20.3759014,15.39713787,282.144161,1.177562746,4.66,4.99,0.170302,-7.42E-10,-4.90E-11,,,56,189P/NEAT
197P/LINEAR,56717,2456376.326,0.629660237,25.54272525,188.7289004,66.38824615,1.061393391,4.67,4.85,0.051318,-1.33E-10,1.67E-11,7.17E-11,,46,197P/LINEAR
206P/Barnard-Boattini,51606,2450626.305,0.688642088,31.97414822,179.5749493,205.2603247,0.978812133,5.31,5.57,0.01839,,,,,12,206P/Barnard-Boattini
207P/NEAT,54069,2454776.877,0.756988908,10.14995411,271.195627,200.6742212,0.943996196,6.83,7.66,0.147585,,,,,64,207P/NEAT
209P/LINEAR,55720,2454938.94,0.69237046,19.44782985,150.4693054,65.46431318,0.901668822,4.96,5.02,0.051186,,,,,130,209P/LINEAR
210P/Christensen,56908,2456886.746,0.832503263,10.24010578,345.8255534,93.82650012,0.531313913,5.81,5.65,0.170738,2.13E-10,5.23E-11,-6.02E-10,,42,210P/Christensen
217P/LINEAR,54831,2455083.48,0.689642756,12.88188017,246.7754682,125.6220203,1.223482234,6.66,7.83,0.306437,,,,,113,217P/LINEAR
222P/LINEAR,54553,2455075.7,0.726769396,5.14614339,345.4248856,7.132384188,0.780761495,4.93,4.83,0.062285,,,,,31,222P/LINEAR
225P/LINEAR,52717,2452555.598,0.663764463,20.70960946,1.329461349,15.49778451,1.192065517,5.9,6.68,0.194983,,,,,42,225P/LINEAR
249P/LINEAR,54112,2453976.035,0.816148393,8.4340952,64.04057029,240.6460863,0.510585571,5.04,4.63,0.052649,,,,,21,249P/LINEAR
252P/LINEAR,52306,2451613.458,0.672411248,10.38105211,343.2826819,190.9962851,1.001368431,5.11,5.34,0.017389,,,,,25,252P/LINEAR
255P/Levy,56981,2457876.215,0.668188902,18.26659348,179.6923294,279.7300367,1.00817764,5.07,5.3,0.024517,7.33E-09,-4.15E-09,,,37,255P/Levy
262P/McNaught-Russell,55913,2456265.959,0.815402883,29.07941912,171.1690206,218.0142884,1.280276583,12.59,18.27,0.291456,,,,,39,262P/McNaught-Russell
263P/Gibbs,54246,2454098.266,0.586980396,14.4711765,26.31548584,113.3508576,1.251302076,4.81,5.27,0.284398,,,,,15,263P/Gibbs
273P/Pons-Gambart,56799,2456281.057,0.975096143,136.3989719,20.18419247,320.4310688,0.810431048,64.27,185.64,0.171765,7.60E-11,8.86E-10,,,9,273P/Pons-Gambart
289P/Blanpain,53393,2452985.145,0.675768574,5.931685399,9.066912825,69.33306667,0.998682779,5.16,5.41,0.016462,,-7.71E-10,,,4,289P/Blanpain
294P/LINEAR,55173,2454631.335,0.594515934,19.0857983,233.2695182,315.4433207,1.297734649,5.1,5.73,0.393614,,,,,27,294P/LINEAR
300P/Catalina,56981,2456807.378,0.693462168,5.691470921,222.7484631,95.8066034,0.825979778,4.56,4.42,0.024454,,-3.25E-10,,,9,300P/Catalina
306P/LINEAR,53391,2452865.469,0.598259491,8.364457777,0.768801631,341.4986017,1.246918534,4.96,5.47,0.239208,,,,,31,306P/LINEAR
317P/WISE,55727,2455385.227,0.590446735,10.64556918,328.7279634,280.9856039,1.198390481,4.65,5.01,0.203854,,,,,9,317P/WISE
C/1906 V1 (Thiele),17544,2417536.077,0.948761365,56.03318114,8.456068198,85.80950568,1.208610867,45.97,114.56,0.230296,,,,,3,C/1906 V1 (Thiele)
C/1921 H1 (Dubiago),22841,2422813.844,0.847783004,22.07043089,96.44867266,68.21958086,1.098349017,13.33,19.38,0.367524,,,,,3,C/1921 H1 (Dubiago)
D/1978 R1 (Haneda-Campos),43773,2443790.992,0.66523194,5.947329619,240.4622187,132.2535138,1.101417705,5.48,5.97,0.13492,,,,,7,D/1978 R1 (Haneda-Campos)
C/1991 L3 (Levy),48547,2448445.695,0.928817863,19.19030997,41.47119826,329.4309837,0.982559471,26.62,51.28,0.074988,,,,,9,C/1991 L3 (Levy)
P/1999 J6 (SOHO),53580,2453318.081,0.984177313,26.6131418,21.97680319,81.61378154,0.049058228,6.15,5.46,0.010175,0.000000395,-1.89E-09,,,6,P/1999 J6 (SOHO)
P/1999 R1 (SOHO),53089,2452891.317,0.977409122,13.67622884,43.68972274,4.932374957,0.057012651,4.99,4.01,0.076579,,,,,3,P/1999 R1 (SOHO)
P/1999 RO28 (LONEOS),51441,2451453.843,0.650786733,8.191041706,219.8588263,148.4502956,1.231758765,5.82,6.62,0.247638,,,,,15,P/1999 RO28 (LONEOS)
C/1999 X3 (SOHO),53074,2453076.829,0.981639879,6.337569475,353.7341335,323.490768,0.047951234,5.18,4.22,0.031348,,,,,5,C/1999 X3 (SOHO)
C/2001 OG108 (LONEOS),52248,2452348.706,0.925259301,80.24505505,116.4195121,10.5552957,0.99404788,25.61,48.5,0.300836,,,,,40,C/2001 OG108 (LONEOS)
C/2001 W2 (BATTERS),52249,2452267.418,0.941373458,115.9130897,142.0857566,113.3558968,1.051064641,34.81,75.91,0.145327,,,,,22,C/2001 W2 (BATTERS)
C/2002 R5 (SOHO),53575,2452522.684,0.985261262,14.12062881,45.7237989,13.21421538,0.047401601,6.38,5.77,0.094044,,,,,3,C/2002 R5 (SOHO)
P/2002 S7 (SOHO),53592,2452538.404,0.984861868,13.57497488,52.15494545,50.19576776,0.04879857,6.4,5.79,0.114603,,,,,3,P/2002 S7 (SOHO)
P/2003 T12 (SOHO),55968,2455952.953,0.776422176,11.4758078,217.6773881,176.4650989,0.574839946,4.57,4.12,0.154232,,,,,5,P/2003 T12 (SOHO)
P/2004 R1 (McNaught),54629,2455248.548,0.682526943,4.894555854,0.626837835,295.9854497,0.986192006,5.23,5.48,0.027011,,,,,20,P/2004 R1 (McNaught)
P/2005 T4 (SWAN),53667,2453654.037,0.930297059,160.0361801,41.44353425,25.42228788,0.649399439,17.98,28.44,0.157261,,,,,6,P/2005 T4 (SWAN)
P/2005 W4 (SOHO),54203,2453697.986,0.982267558,14.5962755,49.40000591,53.00487076,0.05398036,6.03,5.31,0.107655,,-7.46E-11,,,2,P/2005 W4 (SOHO)
P/2006 HR30 (Siding Spring),54046,2454102.782,0.84311839,31.88449913,117.4138753,309.9521628,1.226427704,14.41,21.86,0.452907,,,,,87,P/2006 HR30 (Siding Spring)
P/2007 T2 (Kowalski),54417,2454362.521,0.774834086,9.895275619,358.5515716,3.994965765,0.695862748,5.49,5.43,0.156276,,,,,17,P/2007 T2 (Kowalski)
P/2008 S1 (Catalina-McNaught),55101,2454741.329,0.666312781,15.1007464,203.6490232,111.3920029,1.190641555,5.95,6.74,0.194101,,,,,13,P/2008 S1 (Catalina-McNaught)
P/2008 Y1 (Boattini),54846,2454887.597,0.734881759,8.805148715,162.3648341,259.7096838,1.27197954,8.32,10.51,0.289617,,,,,13,P/2008 Y1 (Boattini)
P/2008 Y12 (SOHO),55476,2454822.977,0.978749538,23.34562318,146.6141611,312.5525907,0.065413686,6.09,5.4,0.044832,,,,,4,P/2008 Y12 (SOHO)
P/2009 L2 (Yang-Gao),55023,2454973.255,0.620929816,16.15851413,346.954318,259.3047568,1.296125756,5.54,6.32,0.287493,,,,,20,P/2009 L2 (Yang-Gao)
